#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
acj0005.fna	NODE_21_length_67980_cov_44.294268	24561	25594	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.02	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
acj0005.fna	NODE_21_length_67980_cov_44.294268	44783	45166	+	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0005.fna	NODE_21_length_67980_cov_44.294268	45588	46124	+	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0005.fna	NODE_34_length_35724_cov_37.889794	28562	29627	-	(pilT)	3-1068/1068	========/======	2/2	99.72	84.07	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
acj0005.fna	NODE_4_length_164586_cov_43.429001	60516	61225	+	(bfmR)	1-710/717	===============	0/0	99.02	85.07	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
acj0005.fna	NODE_7_length_100862_cov_47.043917	1924	4983	-	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	82.94	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
acj0005.fna	NODE_8_length_99173_cov_48.828484	61798	63149	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.21	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
acj0210.fna	NODE_22_length_48084_cov_62.557374	2130	5189	-	(vgrG/tssI)	1-3060/3327	==============.	0/0	91.97	82.94	VFG050929(gb|WP_000898324.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii MDR-TJ]	
acj0210.fna	NODE_29_length_42062_cov_50.865506	33037	33746	-	(bfmR)	1-710/717	===============	0/0	99.02	85.63	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
acj0210.fna	NODE_39_length_28121_cov_51.715653	22114	22650	-	(pilI)	1-537/537	========/======	2/2	99.81	80.30	VFG050653(gb|WP_000729762.1)	chemotaxis	protein CheW [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0210.fna	NODE_39_length_28121_cov_51.715653	23072	23455	-	(pilG)	1-384/384	===============	0/0	100.00	82.81	VFG050623(gb|WP_000389061.1)	twitching	motility response regulator PilG [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii AB0057]	
acj0210.fna	NODE_4_length_114341_cov_64.438318	44997	46354	+	(ABBFA_RS17100)	13-1370/1371	===============	0/0	99.05	81.30	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
acj0210.fna	NODE_63_length_18221_cov_48.951641	2402	3435	+	(ompA)	1-1037/1062	========/======	4/15	96.80	88.11	VFG038174(gb|WP_000777885)	outer	membrane protein OmpA [OmpA (VF0464)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB0057]	
acj0210.fna	NODE_75_length_11390_cov_47.346267	4228	5293	-	(pilT)	3-1068/1068	========/======	2/2	99.72	84.07	VFG050395(gb|YP_005797773.1)	type	IV pilus twitching motility protein PilT [TFP (VF1334)_Adherence (VFC0001)]~~~[Acinetobacter baumannii TCDC-AB0715]	
acj0210.fna	NODE_9_length_81253_cov_62.766302	41300	42202	-	(lpxC)	1-903/903	========/======	2/2	99.89	80.09	VFG037826(gb|WP_000240700)	UDP-3-O-acyl-N-acetylglucosamine	deacetylase [LPS (VF0466)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii BJAB0715]	
acj0216.fna	NODE_12_length_80914_cov_54.164643	29344	32338	-	(vgrG/tssI)	1-2995/3282	==============.	0/0	91.26	85.01	VFG050912(gb|WP_000898330.1)	type	VI secretion system tip protein VgrG [T6SS (VF1337)_Effector delivery system (VFC0086)]~~~[Acinetobacter baumannii ACICU]	
acj0216.fna	NODE_3_length_147612_cov_53.613927	62695	64046	-	(ABBFA_RS17100)	13-1364/1371	===============	0/0	98.61	81.21	VFG037851(gb|WP_000209932)	phosphomannomutase/phosphoglucomutase	[Capsule (VF0465)_Immune modulation (VFC0258)]~~~[Acinetobacter baumannii AB307-0294]	
acj0216.fna	NODE_5_length_109039_cov_52.473033	10087	10796	+	(bfmR)	1-710/717	===============	0/0	99.02	85.63	VFG038223(gb|WP_000076440)	biofilm-controlling	response regulator [BfmRS (VF0463)_Regulation (VFC0301)]~~~[Acinetobacter baumannii BJAB0715]	
